name,Tc,number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence
La1.78Sr0.22Cu0.98Zn0.02O4,9.555,5.0,74.29,56.30085428571428,60.47688589160383,35.6113286877664,1.4518296606872134,1.0457616113025918,122.906,35.13475714285715,39.86339032746714,51.97743494615355,810.66697,1011.8701728857144,765.2835773553157,940.071534270674,1.5504866692120027,0.8110135281527548,775.835885,748.2290454571429,286.0781714358816,354.8301224476481,148.6,110.04857142857144,129.97885842494986,85.8722146114533,1.498696436642931,1.172693697649338,178,57.120000000000005,66.63212438456394,77.70078459404778,4974.0858,2921.093714285714,1081.0160782349046,52.94093452948192,1.3095959003345536,0.8354316072785019,8958.571,1562.0234285714284,3229.3609062237933,3560.141871464584,62.02055800000001,108.9103383,0.2039384408511865,85.56776033203784,1.0698331917685977,0.7570638719756294,140.964585,80.55119142857143,58.163584479907925,44.77544654366511,6.889200000000001,3.91172,4.551984157772433,1.534716695120126,1.392475973938103,1.0954771613494367,12.606,1.80608,4.011255085381632,4.507369080123919,113.18534,61.032114285714286,14.278748058350043,0.6416717665893522,0.8319278214382084,0.3421331645342531,400.9733,56.12474285714285,149.42409762706416,137.5187105359374,3.0,4.54,2.701920077041227,4.153825080432498,1.494365082953388,0.7512228872645981,4,3.4228571428571426,1.5491933384829668,1.7162583888048026
Y1Ba2Cu1O8,82.25,4.0,76.4445,46.25816666666667,59.356326514095656,29.62712354660907,1.199538472117481,1.227905509596921,121.328,17.592333333333332,43.82350271543798,46.5740530568136,790.52572625,1071.87598625,737.2641697985066,1000.3778177665656,1.3133158868600738,0.6722529131404273,811.05291,825.9678829166667,314.279248621623,347.08483199790027,160.25,102.5,134.7339050424837,77.76957596559438,1.2486435701184562,1.2673463106775833,205,31.5,78.93153678980285,82.51414020235157,4235.85725,1705.2859999999998,669.5565878093886,21.27192643094526,1.015407122700988,1.0651673583138794,8958.571,745.7139999999999,3194.938945916289,2738.9869817564545,75.90957375,108.6903525,51.27602037761395,82.95721013768572,1.0914873152193318,0.5123433558443957,127.070745,91.66075,54.980128706180565,52.17545511575148,8.001000000000001,3.519333333333333,4.655853429547456,1.224653323197786,1.12718599714348,1.2911047765858956,12.606,0.8906666666666665,4.869859648901598,4.604092406640954,109.156675,37.934466666666665,7.629577273429074,0.303179533031194,0.3396185736618679,0.4424136280669403,400.9733,33.39886666666666,168.65251400784655,109.73668505704411,3.25,4.75,2.9129506302439405,4.303136313272521,1.2711814798605796,0.6036660534839792,4,3.8333333333333335,1.6393596310755,1.7853571071357124
Ba0.5K0.5Fe2As2,35.28,4.0,76.798,69.94930000000001,68.84557524832545,66.31755564268876,1.27635596460641,1.2085048383759966,98.229,26.059,37.17390693080296,25.27091859054593,657.7864875,775.9420185000001,624.4751798076293,751.2252072388867,1.3355338183832808,1.0520077873467126,528.1588899999999,336.9159715,209.57371012752083,178.84586426105395,192.75,159.6,183.8017273946484,153.58234817150336,1.3412620382852287,1.3065476323362613,134,38.10000000000001,56.88749862667544,47.24870368592138,4493.25,5877.6,3417.7024045507314,5125.43199556276,1.1906322118383743,0.9317692172449582,7012.0,3063.4000000000005,2603.09271588624,2163.213960753767,39.1246675,43.9296205,30.17955682184552,33.067748560665514,1.1547630811064116,0.8701660105839641,64.64495,30.026132,26.5632247029174,29.823326210508647,12.74125,17.549500000000002,8.930177301564624,14.293746213747893,1.101425289269797,0.841688187370047,25.365,10.8465,9.549802599399634,8.99067028924985,62.875,64.33,52.52612508641094,58.8759699816105,1.2433551832205147,1.104341724023167,84.1,30.320000000000004,31.685751924169324,23.233856761200887,2.75,3.5,2.340347319320716,3.166208446924181,1.2406842915533958,0.9519246430992504,4,1.9,1.479019945774904,1.3601470508735445
La1.875Ba0.05Sr0.075Cu1O4,15.25,5.0,88.6794,57.346675,70.15386835114043,35.94700086841384,1.445330639151073,1.0021171119841643,122.906,36.26791071428571,46.485375225332966,53.10041892952261,729.9669160000001,1010.9229658571428,680.2258999583532,938.6852914766567,1.532617330216607,0.7857253123203204,811.05291,747.2267041428571,304.0437585767752,355.7281677213742,174.8,110.40357142857142,150.39204209729874,86.00929110132091,1.496109343555189,1.1224165701474478,205,58.72857142857143,76.10361358043389,78.23260638334001,4249.4858,2980.3165714285715,938.0783908488428,53.69982343401213,1.2796371507508266,0.7773510038573423,8958.571,1645.4334285714283,3065.983373080578,3586.987197926928,64.799326,109.86953703571427,34.51942503452869,96.3094123523742,1.2009555169073225,0.7697675250130931,136.333305,80.50157057142857,55.4004267322698,43.178683901366725,6.8488,3.9091785714285714,4.526586206887741,1.5330150709123156,1.3914907597446422,1.030089128736548,12.606,1.813428571428572,4.007708292777807,4.517733182799687,93.66534,61.427757142857146,9.880117227153926,0.6326160347810629,0.5580542891006853,0.2784682140150322,400.9733,57.27045714285714,154.08373770538668,138.79072178146856,3.0,4.553571428571429,2.701920077041227,4.176745507731537,1.494365082953388,0.736790548376323,4,3.414285714285714,1.5491933384829668,1.6999962484952604
Y0.6Pr0.4Ba2Cu3O6.929,45.05,5.0,89.3372,53.047866888390445,70.56035258852464,35.58841001361333,1.444535308973285,1.420896487378153,124.909,17.117364065279602,46.917868295138895,46.45920120545968,738.0330620000001,999.107600368938,689.6608171968622,930.8529800467238,1.535931570056902,0.9159707622142312,811.05291,687.8347067963492,300.06511975168064,346.99093795408913,177.6,112.04207595328332,152.09709122265988,87.84115273532989,1.492529994371754,1.453941926686437,205,31.495088560600205,78.66536722090605,79.73637877783175,4743.2858,3039.856256555031,1063.6188979110775,68.63098503785174,1.323573397766869,0.937207511016632,8958.571,2078.281263748163,3032.497786961528,3693.32909214464,70.376159,108.21237152641348,50.65442738088957,85.24379452832606,1.341507660004664,0.7918912070678916,127.070745,74.17209934759067,50.405618310071496,48.75174130187734,7.778800000000001,5.109171320287726,5.035507930512905,1.89112301815702,1.394548507056371,1.1508904906066453,12.606,2.8149122128548227,4.378346464134606,5.371182539746937,89.82534000000001,97.09219617139765,8.421362912893093,1.1160389554302157,0.4572889043571233,0.2070396977751697,400.9733,93.0323300874004,155.72327519180428,167.19971176914234,3.2,4.22105344574213,2.9301560515835217,3.718364999903919,1.5154125173887332,0.8380048132065167,4,3.122747312243793,1.469693845669907,1.928496530214254
La1.9Sr0.1Cu0.9925Zn0.0075O4,14.865,5.0,74.29,57.17675071428571,60.47688589160383,35.89191650954885,1.4518296606872134,0.9507691990915272,122.906,37.63273571428571,39.86339032746714,52.92439125626698,810.66697,1011.38761005,765.2835773553157,939.4061977071628,1.5504866692120027,0.781014520888726,775.835885,749.8475813321429,286.0781714358816,355.23764286567683,148.6,110.17928571428573,129.97885842494986,85.9259102065659,1.498696436642931,1.0784121061700342,178,61.21214285714286,66.63212438456394,77.87620670601751,4974.0858,2984.6305,1081.0160782349046,53.73879712532235,1.3095959003345536,0.7613097161418346,8958.571,1667.3834285714283,3229.3609062237933,3588.9901023816124,62.02055800000001,109.82112224107144,0.2039384408511865,93.5105885418526,1.0698331917685977,0.7650721891391672,140.964585,80.55119142857143,58.163584479907925,43.19564939224908,6.889200000000001,3.900862857142857,4.551984157772433,1.5315423777735186,1.392475973938103,1.004760873893509,12.606,1.8424585714285715,4.011255085381632,4.508012480467304,113.18534,61.16561428571429,14.278748058350043,0.6325541065224942,0.8319278214382084,0.2908643404631502,400.9733,56.84081428571429,149.42409762706416,138.34681046192705,3.0,4.557142857142857,2.701920077041227,4.182798191119545,1.494365082953388,0.7300035167875774,4,3.426428571428571,1.5491933384829668,1.6956727639639022
Ba1Fe1.82Ni0.18As2,14.15,4.0,81.69675000000001,79.874728,76.20508899630933,75.32971458764021,1.3123000697178724,1.1792419091969528,81.482,27.855852,32.93215542881303,29.938273303415748,737.36249125,783.43581548,719.2685561387,764.1602490142404,1.3626432111461428,1.0971774328750687,444.120455,352.26287560000003,157.76428096976167,163.34474180727744,169.25,160.348,162.64644952573997,153.9483179934361,1.34480750139686,1.2057809427820716,134,51.42,50.310908359917335,49.11475232554879,6504.75,6179.624,6127.7703315411245,5924.333705420371,1.332089098888054,1.124825122057784,5398.0,2545.448,2075.083055566692,1679.3815488518385,54.92408625,43.93425178,37.19571274215313,31.32454933880836,1.0752448655279998,0.8986412026713843,97.64282,28.636748,41.78075545615639,33.37084208579264,16.445,18.14824,14.701254347593544,16.10467310354903,1.283054569336223,0.9715616120674624,20.58,10.4626,7.434226590574165,8.228325182101154,59.97500000000001,56.298,50.97243350953929,49.80426703411596,1.2583616840684904,1.0514868227420138,72.5,25.9932,28.273518970938163,23.59403729758856,3.0,3.564,2.7831576837137404,3.3442845110569888,1.308605386853449,1.0109375140096084,3,1.928,1.224744871391589,1.232032467104662
Ca10Ir4Fe10As18,17.35,4.0,90.7655,73.25461904761904,75.34819850762693,65.84168398438123,1.1935694862072093,1.2833018928617828,152.139,22.567047619047614,59.85834804143864,41.02730335424864,791.10463625,810.2167066666666,779.0978841192272,796.5889651100975,1.371618846716908,1.217667778927931,357.18747,323.4590707142857,133.35264374116784,142.885191317638,162.25,151.47619047619048,159.56456356765304,148.3184591269215,1.3703634577066734,1.3199359018875478,75,33.85714285714286,28.428638729281428,31.063098682733543,9427.75,6846.809523809523,6301.563932685098,5157.180167800393,1.0518310077672588,1.2435496378383937,21010.0,2085.3809523809523,7915.564173670756,5566.271844729928,61.7504,52.198385,23.85665308515885,22.998285548795486,0.875386740802355,0.8654289615723495,149.262295,33.24597428571428,59.09093833880252,46.36817876181232,19.0375,19.678571428571427,17.08806771830815,17.634945739755636,1.2898537928461635,1.099731235707747,19.16,9.838095238095235,8.100032021541644,8.321226034731206,119.65,102.51428571428572,104.50048101724444,86.55588527445202,1.2630971623667095,1.2685350138582097,150.8,33.857142857142854,58.586922602232654,61.54031033329591,3.25,3.619047619047618,3.0800702882410227,3.3905706635041004,1.3322449220385326,1.097878434603353,3,1.8571428571428568,1.0897247358851685,1.2526615655205624
Mg1B1.9C0.1,32.84363636,3.0,15.708999999999998,15.349,14.668314733445746,14.212360993499102,1.0276497881493798,0.7924875218941052,13.494,7.7013,6.0980003279763775,6.336447585201032,874.92598,789.189409,862.5319132987916,787.0560918740368,1.0840066285764904,0.788966630941767,348.6967900000001,470.85323233333327,151.7388115013271,62.53564253866476,99.66666666666669,105.66666666666666,94.54836414638156,102.2556595248854,1.0453438925785568,0.7788274124550655,78,52.86666666666666,33.079029946814074,28.039654459750786,2115.0,2136.9,2096.8742340847257,2116.906538869912,1.0903070515950457,0.7258526108487555,602.0,1406.4333333333334,268.2399423401867,282.36387280717526,49.62545166666666,21.172025166666668,0.006904946660633,0.0043942699421219,0.4736071973403113,0.4889056304502009,121.860555,17.110006666666667,52.25511762875803,22.56071136461868,54.559000000000005,38.119,35.48502098998265,28.43802239441312,0.8006011377447559,0.5634780136722544,96.523,28.967666666666663,39.52571351242968,23.117533360345057,104.0,73.39999999999999,81.60047577577268,51.04167373085566,0.9235130186771092,0.7498073182926843,129.0,47.7,55.5517776493246,61.16240675447623,3.0,2.7,2.8844991406148166,2.645993621439299,1.0608569468580211,0.7411930410128247,2,1.7666666666666666,0.816496580927726,0.5259911279353167
Al0.8Ge0.2Nb3,20.375,3.0,64.176,78.70790000000001,56.68018319293439,71.66489040461884,0.9947743651428612,0.4335507386945657,65.924,66.0475,27.570792710161,26.23250368131109,663.9776083333333,642.73000325,659.693013347849,641.4758827739831,1.0921228022186515,0.6838465532509711,184.67229,450.99501125,75.85522548598111,40.37223960269269,146.0,178.2,141.7867592207574,174.25822488298647,1.0682731903916889,0.5351913059421665,80,142.4,36.8057966449127,34.30393563426797,5530.333333333333,7233.25,4974.236284609269,6641.280582634134,1.0013320970137314,0.4200918371662017,5872.0,6161.35,2401.712768467999,2374.094919648328,82.55899833333335,79.079106,75.8363652338014,76.03862712166911,1.0221530979079505,0.5995076639165536,76.41612,58.6725285,31.30055620690186,19.596965717737508,24.683666666666664,23.7892,21.859670553779345,22.41526066335065,0.994294326366148,0.5679776792190587,26.229,17.952999999999996,10.776500988519212,6.925839123167675,116.96666666666664,90.685,91.50392171670968,72.67921167708735,0.8547463457268403,0.8126122699258879,183.3,44.39000000000001,84.91785573259737,73.17103439886577,4.0,4.55,3.914867641168864,4.464314209859222,1.077556326766801,0.5638741682260934,2,3.55,0.816496580927726,0.8046738469715541
