Fold,my_RMSE_K,Shams_RMSE_K,Difference_K
1,10.258355235742822,10.357821624604053,-0.09946638886123083
2,10.623516730925822,10.75903560482367,-0.13551887389784767
3,10.172246713193314,10.725930599321623,-0.5536838861283098
4,10.10231869975862,10.5140682162917,-0.4117495165330798
5,10.2548706325823,10.941413929626123,-0.6865432970438228
6,9.697334377330419,9.889641942255006,-0.19230756492458667
7,10.659691436987858,11.440774193503817,-0.7810827565159588
8,9.667316124714063,10.145873597857424,-0.4785574731433613
9,11.153325341563157,11.021131158818458,0.13219418274469952
10,10.291775848204484,10.766263992389115,-0.47448814418463137
